,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL,GOOG,MO,AMZN,AEE
MMM,1.0,0.9599171720924419,0.9283910021900468,0.7992396080800146,0.9778642457240004,0.9440785447286223,0.9005965199887707,-0.2461595635561688,0.8601275865584974,-0.23734692820892325,0.8194350135604486,0.972413903931937,0.8220323819429101,0.9788197595476138,0.3593396011925999,0.9370100332550572,0.9291128249214833,0.9082126310997934,0.8272558850153561,0.8575324556095465,0.9406759044063112,0.8426774699617335,0.8795944533629605,0.9822681411778887,0.9449975979915702,0.9737368493713174,0.9729260179854898,0.9721079928922624,0.9120733951881129,0.9356503169217274
ABT,0.9599171720924419,1.0,0.9299193794620882,0.8240197092363546,0.9782203515936146,0.9221967076032914,0.9058888193042932,-0.29123933920257583,0.8796144633323764,-0.2021680305206615,0.8277733537414608,0.9617393952588215,0.8124837129115926,0.9694613157705613,0.3829902049201552,0.8954831078587964,0.9059258794173608,0.8787928325755259,0.8677304493881189,0.8651085666869435,0.8300059321083054,0.8352291197520147,0.8980551364417872,0.9681929585032789,0.8995333636744256,0.9581720356118448,0.9585093790246031,0.9412494538915436,0.9195802636368878,0.8947684514277479
ABBV,0.9283910021900468,0.9299193794620882,1.0,0.8889337980682631,0.9366166133208416,0.918195405427231,0.9323614820496375,0.7468413587984396,0.18491456017018862,0.31541044066138296,-0.0851953050142684,0.940008491242323,0.9425402377535094,0.9242992880475707,0.5682152936616559,0.5235937394811909,0.7538549400723354,0.8986572691136427,-0.11595504453701364,0.9118590497921222,0.8616472033806652,0.02109959244107669,0.1218566835652836,0.8587190574861573,0.9413049359102217,0.9162698010416139,0.9207013078727768,0.7142235400478465,0.9062436448534381,0.8756564477687984
ABMD,0.7992396080800146,0.8240197092363546,0.8889337980682631,1.0,0.8652730501397708,0.910919747394151,0.9670139496357927,0.07702587468005326,0.6120580998171312,-0.025017372535530845,0.44525099207463165,0.8219123118320998,0.7838979530233429,0.779016401639943,0.34995058555353015,0.6951574490863137,0.7103392175441584,0.7538824919150791,0.502060886016857,0.9720184727071683,0.8351052387724289,0.5303852061012312,0.5609279776529615,0.7976371812138928,0.8162455184781616,0.8703790314833697,0.874316722022292,0.7364924263728407,0.9623045331335776,0.8342943863326688
ACN,0.9778642457240004,0.9782203515936146,0.9366166133208416,0.8652730501397708,1.0,0.9554324224416509,0.930753813418028,-0.12438940024176579,0.8666029005848798,0.09056628418957367,0.7681122031001802,0.9741349359820719,0.9667397662367735,0.9749936771347917,0.8152915844715043,0.9174574939429949,0.9274093635076949,0.8999191671887938,0.8172555398827535,0.8889825007740657,0.9485335977556657,0.813037528966991,0.8619108392997475,0.9860453653617249,0.9101162347882562,0.9849779496279476,0.9850584336238717,0.964177534017789,0.9523801488858655,0.9170486504893556
ATVI,0.9440785447286223,0.9221967076032914,0.918195405427231,0.910919747394151,0.9554324224416509,1.0,0.9645318212835112,-0.1336128985871867,0.7352684658676717,-0.17359145145264362,0.663213121825167,0.9476542093232713,0.8278381738913664,0.9275425172327116,0.3443874801531038,0.857240374073678,0.8947145727329872,0.8957078849421803,0.6800357860941458,0.9409168510242407,0.9366008340022542,0.704730131871375,0.7330271099775894,0.9370010316114004,0.9169940647704902,0.96147561457849,0.9629042702614181,0.9110442727515744,0.9699523747518948,0.9249130998891187
ADBE,0.9005965199887707,0.9058888193042932,0.9323614820496375,0.9670139496357927,0.930753813418028,0.9645318212835112,1.0,0.006439106108459085,0.6998635386868312,-0.06514345481326199,0.6100956715015469,0.9169712188394095,0.8442892331910155,0.883903341825881,0.37951546680629117,0.7951904506943334,0.8230487199928562,0.8585358655308181,0.6221899936579737,0.9737653118837989,0.883973302966826,0.6430130491614183,0.6880712474657517,0.8907457714964635,0.9126236439237413,0.932296890638662,0.9355660796419579,0.8388271896237024,0.9824306111890156,0.9182675687790968
AMD,-0.2461595635561688,-0.29123933920257583,0.7468413587984396,0.07702587468005326,-0.12438940024176579,-0.1336128985871867,0.006439106108459085,1.0,-0.27777479902122193,0.5945717910647527,-0.39031674053130855,-0.2451370753720789,0.09321225614666706,-0.3098261963502162,0.11356600407201106,-0.24545422312036386,-0.2977782466074714,-0.1771057249581923,-0.44726583265409864,0.0836629491910639,0.8163380529449002,-0.34748897372960214,-0.3409478763910909,-0.264431462548468,-0.07093928059566933,-0.07671164291524418,-0.07264214180042079,-0.30454380094380523,-0.06999991763854077,-0.07226628098900745
AAP,0.8601275865584974,0.8796144633323764,0.18491456017018862,0.6120580998171312,0.8666029005848798,0.7352684658676717,0.6998635386868312,-0.27777479902122193,1.0,0.14505828074379934,0.8268557298764618,0.833929232687788,0.8002077201370242,0.8972753950693425,0.8491671185648098,0.923017295657602,0.7594833649744651,0.7559952250856175,0.9348912493082924,0.6091971304582038,-0.10766424332996288,0.9445220442757154,0.9366732992474016,0.8934181725499182,0.7559021069000998,0.8201512353427173,0.8136755204466852,0.9137960760846299,0.732626149300217,0.7599591849866622
AES,-0.23734692820892325,-0.2021680305206615,0.31541044066138296,-0.025017372535530845,0.09056628418957367,-0.17359145145264362,-0.06514345481326199,0.5945717910647527,0.14505828074379934,1.0,-0.2146658928265281,-0.21100794323331196,0.1835951352219282,-0.2327525703833763,0.3328727880202302,-0.16390198730245367,-0.23469482185272061,-0.24110338485161112,-0.1797187465604921,0.0026975901037295195,0.1400426173503904,-0.1330301428802352,0.058992516931692954,-0.19697576952368487,-0.14724616156856177,-0.07473412918005912,-0.07205781861812444,-0.22268372215261037,-0.1297619030268476,-0.18022022867957196
